rpm,tps_pct,kfuel_map_pct,map_mbar,idle_learn_pct,dthrot,lambda2,inj_h_perc,ae_usec,iidle_pct,km_h,dc_base_idle_pct,idle_out_pct,ivct_angle_deg,evct_angle_deg,ivct_target_deg,evct_target_deg,dbw_tps1_pct,base_inj_pw_usec,run_pw1_usec,sa_base_deg,sa_out_deg,lambda1,target_lambda,run_pw2_usec,clc1_pct,clc2_pct,base_boost_dc_pct,boost_out_pct,oil_p_kpa,fuel_p_bar,sa_knock1_deg,sa_knock2_deg,sa_knock3_deg,sa_knock4_deg,i_boost,target_boost_mbar,batt_V,djv_batt_usec,dwell_usec,tps1i_V,pps1i_V,pps2i_V,tps_drv_req_pct,tps2i_V,tps_pps_fault,pps_scaled_pct,pps1_pct,pps2_pct,tps1_pct,tps2_pct,th2o_C,toil_C,kfuel_crk_pct,tair_C,erun_timer_s,tair_i_V,lambda_i_V,kfuel_th2o_pct,kfuel_tair_pct,crk_cnt,kfuel_baro_pct,kfuel_p_pct,osa_tair_deg,rpm_target_idle,fuel_p_target_bar,fuel_level_V,fuel_p_ctrl_dc_pct
800.00,0.00,100.39,950.00,0.00,0.00,14.64,100.00,0.00,0.00,0.00,26.27,26.27,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
800.00,0.00,100.39,950.00,0.00,0.00,14.64,100.00,0.00,0.00,0.00,26.27,26.27,0.00,0.00,5.00,0.00,106.74,4158.00,9363.00,15.75,0.00,14.64,0.90,9363.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
800.00,0.00,100.39,950.00,0.00,0.00,14.64,100.00,0.00,0.00,0.00,26.27,26.27,0.00,0.00,5.00,0.00,106.74,4158.00,9363.00,15.75,0.00,14.64,0.90,9363.00,0.00,0.00,54.51,54.51,0.35,3.00,0.00,0.00,0.00,0.00,0.00,1080.00,12.79,540.00,3200.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
800.00,0.00,100.39,950.00,0.00,0.00,14.64,100.00,0.00,0.00,0.00,26.27,26.27,0.00,0.00,5.00,0.00,106.74,4158.00,9363.00,15.75,0.00,14.64,0.90,9363.00,0.00,0.00,54.51,54.51,0.35,3.00,0.00,0.00,0.00,0.00,0.00,1080.00,12.79,540.00,3200.00,5.00,0.84,0.49,6.55,0.02,64.00,0.00,0.00,1.96,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
800.00,0.00,100.39,950.00,0.00,0.00,14.64,100.00,0.00,0.00,0.00,26.27,26.27,0.00,0.00,5.00,0.00,106.74,4158.00,9363.00,15.75,0.00,14.64,0.90,9363.00,0.00,0.00,54.51,54.51,0.35,3.00,0.00,0.00,0.00,0.00,0.00,1080.00,12.79,540.00,3200.00,5.00,0.84,0.49,6.55,0.02,64.00,0.00,0.00,1.96,100.00,0.00,84.75,148.12,156.86,29.53,0.00,1.98,5.00,128.63,100.39,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
800.00,0.00,100.39,950.00,0.00,0.00,14.64,100.00,0.00,0.00,0.00,26.27,26.27,0.00,0.00,5.00,0.00,106.74,4158.00,9363.00,15.75,0.00,14.64,0.90,9363.00,0.00,0.00,54.51,54.51,0.35,3.00,0.00,0.00,0.00,0.00,0.00,1080.00,12.79,540.00,3200.00,5.00,0.84,0.49,6.55,0.02,64.00,0.00,0.00,1.96,100.00,0.00,84.75,148.12,156.86,29.53,0.00,1.98,5.00,128.63,100.39,0.00,100.39,112.94,0.00,1060.00,80.00,158.91,0.00
1094.00,4.71,100.39,1068.00,0.00,0.00,14.53,100.00,0.00,0.00,0.00,26.27,26.27,0.00,0.00,5.00,0.00,106.74,4158.00,9363.00,15.75,0.00,14.64,0.90,9363.00,0.00,0.00,54.51,54.51,0.35,3.00,0.00,0.00,0.00,0.00,0.00,1080.00,12.79,540.00,3200.00,5.00,0.84,0.49,6.55,0.02,64.00,0.00,0.00,1.96,100.00,0.00,84.75,148.12,156.86,29.53,0.00,1.98,5.00,128.63,100.39,0.00,100.39,112.94,0.00,1060.00,80.00,158.91,0.00
1188.00,5.88,100.39,1106.00,0.00,0.00,14.53,100.00,0.00,0.00,9.40,26.27,26.27,0.00,0.00,5.00,0.00,106.74,4158.00,9363.00,15.75,0.00,14.64,0.90,9363.00,0.00,0.00,54.51,54.51,0.35,3.00,0.00,0.00,0.00,0.00,0.00,1080.00,12.79,540.00,3200.00,5.00,0.84,0.49,6.55,0.02,64.00,0.00,0.00,1.96,100.00,0.00,84.75,148.12,156.86,29.53,0.00,1.98,5.00,128.63,100.39,0.00,100.39,112.94,0.00,1060.00,80.00,158.91,0.00
1188.00,5.88,100.39,1106.00,0.00,0.00,14.53,100.00,0.00,0.00,12.50,26.27,26.27,0.00,0.00,5.00,0.00,106.74,4158.00,9363.00,15.75,0.00,14.64,0.90,9363.00,0.00,0.00,54.51,54.51,0.35,3.00,0.00,0.00,0.00,0.00,0.00,1080.00,12.79,540.00,3200.00,5.00,0.84,0.49,6.55,0.02,64.00,0.00,0.00,1.96,100.00,0.00,84.75,148.12,156.86,29.53,0.00,1.98,5.00,128.63,100.39,0.00,100.39,112.94,0.00,1060.00,80.00,158.91,0.00
1188.00,5.88,100.39,1106.00,0.00,0.00,14.53,100.00,0.00,0.00,12.50,26.27,26.27,0.00,0.00,5.00,0.00,106.74,4158.00,9363.00,15.75,0.00,14.53,0.90,9363.00,0.00,0.00,54.51,54.51,0.35,3.00,0.00,0.00,0.00,0.00,0.00,1080.00,12.79,540.00,3200.00,5.00,0.84,0.49,6.55,0.02,64.00,0.00,0.00,1.96,100.00,0.00,84.75,148.12,156.86,29.53,0.00,1.98,5.00,128.63,100.39,0.00,100.39,112.94,0.00,1060.00,80.00,158.91,0.00
